,PC1,PC2,labels,name
SRR7774474,-0.0657178,17.148405,Sediment,SRR7774474
SRR14842379,-16.112154,-3.0377057,Canis_familiaris,SRR14842379
SRR25620676,-4.1377406,17.255268,Sediment,SRR25620676
SRR14842320,-10.228739,-7.444478,Canis_familiaris,SRR14842320
SRR2175724,12.663287,-3.9510999,Homo_sapiens,SRR2175724
SRR2175804,13.849822,-13.125168,Homo_sapiens,SRR2175804
SRR14842415,0.6286893,7.1072235,Canis_familiaris,SRR14842415
ERR1560093,2.5261912,13.728795,Sediment,ERR1560093
SRR2175725,13.285217,-14.91435,Homo_sapiens,SRR2175725
SRR2175723,10.749622,-3.772588,Homo_sapiens,SRR2175723
SRR14842368,-10.23143,-8.740208,Canis_familiaris,SRR14842368
SRR2175780,13.272012,-15.572055,Homo_sapiens,SRR2175780
SRR14842325,-1.0754098,4.2651486,Canis_familiaris,SRR14842325
SRR14842339,-0.438854,1.3159655,Canis_familiaris,SRR14842339
SRR1952562,11.549154,-12.325396,Homo_sapiens,SRR1952562
SRR14842383,-8.972012,-6.0345097,Canis_familiaris,SRR14842383
SRR14842380,-6.5322523,-8.618085,Canis_familiaris,SRR14842380
SRR14842381,-8.557747,-0.8487903,Canis_familiaris,SRR14842381
SRR2175767,13.644739,-8.192401,Homo_sapiens,SRR2175767
SRR14842372,-12.942908,0.70673317,Canis_familiaris,SRR14842372
SRR24222629,3.5611005,15.958589,Sediment,SRR24222629
SRR2175774,10.585257,-7.4099402,Homo_sapiens,SRR2175774
SRR14842365,-9.68733,-5.255266,Canis_familiaris,SRR14842365
SRR14842348,-6.5707383,3.5682511,Canis_familiaris,SRR14842348
SRR14842392,0.20786607,-2.1805422,Canis_familiaris,SRR14842392
SRR14842337,-6.092378,-2.7958975,Canis_familiaris,SRR14842337
ERR12814474,-2.0437243,20.585691,Sediment,ERR12814474
MS10790,4.6879687,17.414804,Sediment,MS10790
SRR7774470,1.9317554,17.929329,Sediment,SRR7774470
SRR2240290,10.8298435,-6.578578,Homo_sapiens,SRR2240290
SRR14842398,-7.9148455,-0.7796123,Canis_familiaris,SRR14842398
SRR14842390,-11.891138,-9.553457,Canis_familiaris,SRR14842390
SRR14842404,-8.83679,-8.389502,Canis_familiaris,SRR14842404
ERR1560095,3.1092684,14.316168,Sediment,ERR1560095
SRR14842353,-3.8896475,-4.6724143,Canis_familiaris,SRR14842353
SRR1944873,9.704441,-4.084001,Homo_sapiens,SRR1944873
SRR2175776,8.866366,-9.943288,Homo_sapiens,SRR2175776
ERR12074385,4.2381434,14.286561,Sediment,ERR12074385
SRR24222626,4.838206,13.258653,Sediment,SRR24222626
SRR14842367,-7.6661854,-11.176261,Canis_familiaris,SRR14842367
SRR2240728,14.268369,-15.085207,Homo_sapiens,SRR2240728
SRR14842403,-7.6612425,-2.6828263,Canis_familiaris,SRR14842403
SRR2175647,8.271764,-4.2730236,Homo_sapiens,SRR2175647
SRR1952575,10.585108,-11.742881,Homo_sapiens,SRR1952575
SRR14842399,-9.946597,2.2622032,Canis_familiaris,SRR14842399
SRR1952620,13.166165,-13.988164,Homo_sapiens,SRR1952620
SRR14842395,-9.195295,1.2563612,Canis_familiaris,SRR14842395
SRR7774472,9.354468,8.148625,Sediment,SRR7774472
SRR1952618,12.35412,-13.061121,Homo_sapiens,SRR1952618
SRR14842344,-7.545851,4.3067217,Canis_familiaris,SRR14842344
SRR7774476,0.8953183,17.125832,Sediment,SRR7774476
SRR14842331,-10.657098,-2.556109,Canis_familiaris,SRR14842331
SRR1952531,14.128748,-5.9092345,Homo_sapiens,SRR1952531
