,MS11679_kraken_2024-standard_conf0,MS11669_kraken_2024-standard_conf0,MS11774_kraken_2024-standard_conf0,MS11675_kraken_2024-standard_conf0,MS11683_kraken_2024-standard_conf0,MS11686_kraken_2024-standard_conf0,MS11673_kraken_2024-standard_conf0,MS11771_kraken_2024-standard_conf0,MS11775_kraken_2024-standard_conf0,MS11677_kraken_2024-standard_conf0,MS11670_kraken_2024-standard_conf0,MS11770_kraken_2024-standard_conf0,MS11676_kraken_2024-standard_conf0,MS11674_kraken_2024-standard_conf0,MS11684_kraken_2024-standard_conf0,MS11678_kraken_2024-standard_conf0
Canis_familiaris,0.6930685155887235,0.2204168889623546,0.28332611549843717,0.6076880337490072,0.6904989566151285,0.34580687827688783,0.0,0.08681769353988734,0.4410061744390908,0.4090101009699172,0.0734906326623989,0.2362598913597927,0.09248599315184995,0.08307880144619116,0.23971539880404444,0.17118171512557318
Homo_sapiens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332576953005413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sediment,0.2775197255258252,0.7501713521514684,0.6876108688131439,0.36518074521962934,0.2800892844994369,0.6247813628380835,0.9705882411147287,0.8839987140101329,0.0,0.5615781401442452,0.897097608454083,0.7343283497539055,0.8781022479635516,0.8875094396677196,0.7308728423102516,0.7994065259887349
unknown,0.029411758885451295,0.02941175888617697,0.029063015688418955,0.02713122103136359,0.029411758885434777,0.029411758885028786,0.02941175888527128,0.02918359244997991,0.02573613026036797,0.029411758885837688,0.02941175888351795,0.029411758886301775,0.029411758884598523,0.029411758886089417,0.02941175888570403,0.029411758885691894
