PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
MS11669,MS11670	Second Degree	0.5625707053253114	1.2200310180716205	0.8766634676119663	0.3689189189189189	0.022131710092527887	N/A	0.7983870967741935	740	311.40798046900795	0.12333653238803366	0.7735837961473582,0.9797431390765745
MS11669,MS11673	Unrelated	NA	1.599431529431058	1.0007657693004983	0.42114384748700173	0.02486775837501617	N/A	0.8403361344537815	577	242.81406044678053	-0.0007657693004983201	0.8849428006893485,1.1165887379116481
MS11669,MS11674	Unrelated	NA	5.813344940279502	1.0825190455745752	0.45554739162380603	0.012759920787448052	N/A	0.7829457364341085	2722	1145.4763822116752	-0.08251904557457523	1.0230890043719012,1.1419490867772493
MS11669,MS11675	Unrelated	NA	2.2484646569161146	0.9808664499469012	0.41276978417266186	0.013965179928601246	N/A	0.7795275590551181	2224	935.9072277879375	0.019133550053098802	0.9158228472173331,1.0459100526764693
MS11669,MS11676	Unrelated	NA	5.513835337589217	1.0391457651175737	0.4372949785516023	0.010142741749035733	N/A	0.7615384615384615	3963	1667.7159818901061	-0.03914576511757373	0.9919053809416598,1.0863861492934876
MS11669,MS11677	Unrelated	NA	7.987464228853749	1.1472122221601184	0.48277167739492616	0.012695156286634209	N/A	0.7777777777777778	2641	1111.3898329981757	-0.14721222216011842	1.0880838252243605,1.2063406190958763
MS11669,MS11678	Unrelated	NA	3.5435274862822457	1.0263369722515254	0.4319047619047619	0.014261266894264765	N/A	0.7734375	2100	883.7253499796171	-0.026336972251525426	0.9599143280010831,1.0927596165019677
MS11669,MS11679	Unrelated	NA	3.9312057387115025	1.0346539896564184	0.43540474243663124	0.01374519049685103	N/A	0.7906976744186046	2446	1029.3296219286399	-0.034653989656418416	0.9706349999484241,1.0986729793644128
MS11669,MS11683	Unrelated	NA	3.550241926349718	1.0097919595804494	0.42494226327944573	0.012273161521845532	N/A	0.7222222222222222	2598	1093.294504403355	-0.009791959580449427	0.9526290267472096,1.0669548924136893
MS11669,MS11684	Unrelated	NA	4.726595597414448	1.0569339607191868	0.44478063540090773	0.013415800742476754	N/A	0.7265625	2644	1112.6522977838608	-0.05693396071918677	0.9944491221239061,1.1194187993144675
MS11669,MS11686	Unrelated	NA	5.866037040960967	1.0624180672163936	0.44708846584546474	0.011203286769387855	N/A	0.7578125	3572	1503.174738155806	-0.06241806721639365	1.010238135585074,1.1145979988477133
MS11669,MS11770	Unrelated	NA	3.477614139162774	1.07635647332741	0.45295404814004375	0.02058436462463598	N/A	0.8650793650793651	914	384.6309380387477	-0.07635647332741002	0.9804836494948066,1.1722292971600135
MS11669,MS11771	Unrelated	NA	3.56164180408067	1.0499947486689025	0.4418604651162791	0.016983991588161773	N/A	0.8174603174603174	1419	597.1458436290842	-0.04999474866890252	0.9708908626272876,1.1290986347105174
MS11669,MS11774	Unrelated	NA	7.184969666686948	1.1817981986847568	0.49732620320855614	0.016138778298600262	N/A	0.8671875	1496	629.5491064616701	-0.18179819868475677	1.106630940578411,1.2569654567911026
MS11669,MS11775	Unrelated	NA	4.90322459361179	1.1266226549039966	0.47410714285714284	0.018913588478536986	N/A	0.8	1120	471.32018665579585	-0.1266226549039966	1.0385315639565051,1.214713745851488
MS11670,MS11674	Unrelated/Consistent with Third Degree	1.3126222940868268	0.5446871618329058	0.9199968802678733	0.38715455475946775	0.010620746162390313	N/A	0.6875	3908	1644.5707941525447	0.0800031197321267	0.8705301639341088,0.9694635966016378
MS11670,MS11675	Second Degree	2.7928959504762156	0.5753441840839782	0.8285138574160527	0.3486565231466494	0.01171294889217063	N/A	0.7007874015748031	3089	1299.917907660494	0.17148614258394734	0.7739601460833561,0.8830675687487493
MS11670,MS11676	Unrelated	NA	2.3999676835589705	0.9556014476440811	0.40213772560014016	0.008653514406333553	N/A	0.6589147286821705	5707	2401.6288439684167	0.04439855235591894	0.9152972226976196,0.9959056725905425
MS11670,MS11677	Unrelated	NA	6.095110058919545	1.060087670142083	0.44610778443113774	0.010621336305596744	N/A	0.676923076923077	4008	1686.6529536753837	-0.06008767014208294	1.0106182051834909,1.109557135100675
MS11670,MS11678	Unrelated/Consistent with Third Degree	0.5547813924242103	1.0378823267699142	0.9367967710986451	0.39422431161853594	0.012385547582079631	N/A	0.625	2978	1253.2067105901428	0.06320322890135488	0.8791103939351796,0.9944831482621106
MS11670,MS11679	Second Degree	0.8322749193794655	2.8148554080197754	0.8848562556893971	0.37236662106703144	0.010817278520670418	N/A	0.5813953488372093	3655	1538.1029305597622	0.11514374431060292	0.8344741789592157,0.9352383324195784
MS11670,MS11683	Unrelated/Consistent with Third Degree	1.5397259401622654	0.3297825663047991	0.9145187817370516	0.38484925259690905	0.010551442910312459	N/A	0.6666666666666666	3947	1660.982836366452	0.08548121826294841	0.865374849156813,0.9636627143172902
MS11670,MS11684	Second Degree	1.5184666667785343	2.29085013513652	0.868879453675546	0.3656432377569145	0.01035671922398993	N/A	0.5625	3941	1658.4579067950815	0.13112054632445402	0.8206424575014227,0.9171164498496692
MS11670,MS11686	Unrelated/Consistent with Third Degree	0.46025508973977686	1.7494103855623604	0.9433613241980771	0.3969868173258004	0.008927148700476263	N/A	0.609375	5310	2234.5626706627463	0.056638675801922944	0.9017826322979208,0.9849400160982333
MS11670,MS11771	Unrelated/Consistent with Third Degree	1.1403348956345352	0.18366508745033774	0.912752493266031	0.3841059602649007	0.014898801003282367	N/A	0.6929133858267716	1963	826.0727914333279	0.08724750673396897	0.8433604984217905,0.9821444881102716
MS11670,MS11774	Unrelated	NA	7.048751681202058	1.1578805651177857	0.4872611464968153	0.015022741700985758	N/A	0.8661417322834646	1884	792.8278854102851	-0.1578805651177857	1.0879113095762494,1.227849820659322
