PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
MS11669,MS11670	Second Degree	0.870864808834283	0.9436294080290669	0.861254774846101	0.3689189189189189	0.022131710092528237	N/A	0.7903225806451613	740	316.97937471380965	0.13874522515389898	0.759986885264374,0.9625226644278281
MS11669,MS11673	Unrelated	NA	1.325057152006186	0.983175789976104	0.42114384748700173	0.024867758375016556	N/A	0.8403361344537815	577	247.15824217549752	0.016824210023896002	0.8693885860620045,1.0969629938902035
MS11669,MS11674	Unrelated	NA	5.278617818085482	1.063492128173884	0.45554739162380603	0.012759920787447884	N/A	0.7829457364341085	2722	1165.9700783391754	-0.06349212817388405	1.0051066602650531,1.121877596082715
MS11669,MS11675	Unrelated	NA	1.759886940267934	0.9636262314024384	0.41276978417266186	0.013965179928601431	N/A	0.7716535433070866	2224	952.651526166909	0.036373768597561584	0.8997258688418422,1.0275265939630347
MS11669,MS11676	Unrelated	NA	4.841130077914721	1.0208811990381144	0.4372949785516023	0.01014274174903569	N/A	0.7230769230769231	3963	1697.5530567443616	-0.020881199038114362	0.9744711364083818,1.067291261667847
MS11669,MS11677	Unrelated	NA	7.450009189463631	1.127048223862501	0.48277167739492616	0.012695156286634205	N/A	0.7857142857142857	2641	1131.2736873232045	-0.12704822386250103	1.068959098364166,1.1851373493608361
MS11669,MS11678	Unrelated	NA	3.0650934332148876	1.0082975401730438	0.4319047619047619	0.014261266894265344	N/A	0.765625	2100	899.5360633770274	-0.00829754017304385	0.9430423748421202,1.0735527055039675
MS11669,MS11679	Unrelated	NA	3.434808418961102	1.0164683733571327	0.43540474243663124	0.013745190496850707	N/A	0.7674418604651163	2446	1047.7453385810518	-0.016468373357132693	0.9535746146870872,1.0793621320271782
MS11669,MS11683	Unrelated	NA	2.9943072790339813	0.9920433312441955	0.42494226327944573	0.012273161521845386	N/A	0.7222222222222222	2598	1112.8546155492938	0.007956668755804475	0.9358851238297337,1.0482015386586574
MS11669,MS11684	Unrelated	NA	4.21801054512658	1.0383567400681493	0.44478063540090773	0.01341580074247663	N/A	0.7265625	2644	1132.5587388423144	-0.038356740068149264	0.9769701674734612,1.0997433126628373
MS11669,MS11686	Unrelated	NA	5.257012576752908	1.043744455059114	0.44708846584546474	0.011203286769387673	N/A	0.7578125	3572	1530.0680087536866	-0.04374445505911395	0.9924816650274572,1.0950072450907706
MS11669,MS11770	Unrelated	NA	3.1461452866371538	1.0574378724996252	0.45295404814004375	0.020584364624636094	N/A	0.8571428571428571	914	391.5123628221919	-0.057437872499625175	0.9632501592500555,1.1516255857491948
MS11669,MS11771	Unrelated	NA	3.159906105691977	1.0315394952156214	0.4418604651162791	0.016983991588162148	N/A	0.8174603174603174	1419	607.8293685390485	-0.03153949521562138	0.9538259801905153,1.1092530102407274
MS11669,MS11774	Unrelated	NA	6.7621944357583255	1.1610262992871574	0.49732620320855614	0.016138778298600255	N/A	0.859375	1496	640.8123575295396	-0.1610262992871574	1.0871802199786098,1.234872378595705
MS11669,MS11775	Unrelated	NA	4.542474663483974	1.1068205495422125	0.47410714285714284	0.018913588478537396	N/A	0.792	1120	479.7525671344146	-0.10682054954221254	1.0202777933958913,1.1933633056885338
MS11670,MS11674	Second Degree	0.09774187448643112	3.683335213524045	0.90382653691797	0.38715455475946775	0.010620746162390185	N/A	0.6875	3908	1673.993778894011	0.09617346308203001	0.8552292733015634,0.9524238005343766
MS11670,MS11675	Second Degree	3.3754201111218416	0.05308114350515175	0.81395146722548	0.3486565231466494	0.011712948892170592	N/A	0.6929133858267716	3089	1323.1747141769704	0.18604853277452005	0.7603566202782849,0.867546314172675
MS11670,MS11676	Unrelated/Consistent with Third Degree	0.7088277081146556	1.6114931515118764	0.9388052999119603	0.40213772560014016	0.008653514406333516	N/A	0.5968992248062015	5707	2444.5963398536646	0.06119470008803973	0.8992094829718894,0.9784011168520311
MS11670,MS11677	Unrelated	NA	5.452716717273657	1.0414550182550404	0.44610778443113774	0.010621336305596819	N/A	0.6538461538461539	4008	1716.8288295310122	-0.04145501825504039	0.9928550543250639,1.0900549821850167
MS11670,MS11678	Unrelated/Consistent with Third Degree	1.1341658228908238	0.48699221255576175	0.9203311441355024	0.39422431161853594	0.012385547582079593	N/A	0.65625	2978	1275.6278079698989	0.07966885586449757	0.8636586927204305,0.9770035955505744
MS11670,MS11679	Second Degree	1.4630320649090798	2.2493490016829236	0.869303562221957	0.37236662106703144	0.010817278520670286	N/A	0.5736434108527132	3655	1565.6211007823977	0.13069643777804296	0.8198070270592336,0.9188000973846805
MS11670,MS11683	Second Degree	0.3168660276451495	3.489045667421748	0.8984447242942507	0.38484925259690905	0.010551442910312415	N/A	0.6589147286821705	3947	1690.6994486424414	0.10155527570574929	0.850164571016346,0.9467248775721554
MS11670,MS11684	Second Degree	2.1772733385179026	1.7001958777148987	0.8536075767844863	0.3656432377569145	0.010356719223990266	N/A	0.5625	3941	1688.1293456042215	0.1463924232155137	0.8062184191270273,0.9009967344419453
MS11670,MS11686	Unrelated/Consistent with Third Degree	1.2640944423292109	0.9851041158871965	0.9267803152376329	0.3969868173258004	0.00892714870047612	N/A	0.5859375	5310	2274.541188824769	0.07321968476236707	0.8859324320374694,0.9676281984377965
MS11670,MS11771	Second Degree	0.2742963096173478	2.421078973490415	0.8967094810274521	0.3841059602649007	0.014898801003282475	N/A	0.6850393700787402	1963	840.8520440043357	0.10329051897254793	0.828537155952134,0.9648818061027702
