Individual,PC1,PC2,PC3,PC4,Population,Population2
MiniatureSchnauzer:MinSchnauzer01,-0.0233,0.0002,0.0099,-0.0012,Breed,MiniatureSchnauzer
NamibiaVillage:VillDog_Namibia03,-0.0098,-0.0025,-0.0026,-0.0007,Village,NamibiaVillage
NamibiaVillage:VillDog_Namibia02,-0.0101,-0.0029,-0.0024,-0.0009,Village,NamibiaVillage
NamibiaVillage:VillDog_Namibia01,-0.0137,-0.0019,0.0004,-0.0009,Village,NamibiaVillage
NGSingingDog:NGSD3,0.032,0.0066,-0.2131,-0.0128,NGSingingDog,NGSingingDog
NGSingingDog:NGSD1,0.0314,0.006,-0.2066,-0.0122,NGSingingDog,NGSingingDog
NGSingingDog:NGSD2,0.0308,0.0067,-0.2084,-0.0124,NGSingingDog,NGSingingDog
NigeriaVillage:IndigenousDogNigeria03,0.0014,-0.0041,-0.0115,-0.0007,Village,NigeriaVillage
NigeriaVillage:IndigenousDogNigeria02,-0.0001,-0.0041,-0.0108,-0.0006,Village,NigeriaVillage
NigeriaVillage:IndigenousDogNigeria01,-0.0036,-0.0038,-0.0069,-0.0006,Village,NigeriaVillage
NigeriaVillage:IndigenousDogNigeria04,-0.0052,-0.0036,-0.0061,-0.0006,Village,NigeriaVillage
NorwegianElkhound:NorwegianElkhound02,-0.0191,-0.0014,0.0041,-0.0011,Breed,NorwegianElkhound
NorwegianElkhound:NorwegianElkhound01,-0.0193,-0.0011,0.0031,-0.0011,Breed,NorwegianElkhound
NorwegianLundehund:NorwegianLundehund03,-0.0218,-0.0017,0.0097,-0.0007,Breed,NorwegianLundehund
NorwegianLundehund:NorwegianLundehund02,-0.0219,-0.0018,0.0099,-0.0008,Breed,NorwegianLundehund
NorwegianLundehund:NorwegianLundehund01,-0.0221,-0.0012,0.0086,-0.0007,Breed,NorwegianLundehund
NorwichTerrier:NW255,-0.0243,-0.001,0.0138,-0.0008,Breed,NorwichTerrier
NorwichTerrier:NW206,-0.0244,-0.001,0.0139,-0.0009,Breed,NorwichTerrier
NorwichTerrier:NW062,-0.0245,-0.0008,0.0134,-0.0009,Breed,NorwichTerrier
NorwichTerrier:NW152,-0.0245,-0.0009,0.0142,-0.0009,Breed,NorwichTerrier
PapuaNGVillage:VillDog_PapuaNG03,-0.0073,0.001,-0.0393,-0.0033,Village,PapuaNGVillage
PapuaNGVillage:VillDog_PapuaNG01,-0.008,0.0007,-0.038,-0.0031,Village,PapuaNGVillage
PapuaNGVillage:VillDog_PapuaNG02,-0.0098,0.0006,-0.0316,-0.0028,Village,PapuaNGVillage
PembrokeWelshCorgi:PWCorgi01,-0.0233,-0.0005,0.0114,-0.001,Breed,PembrokeWelshCorgi
PembrokeWelshCorgi:PWCorgi03,-0.0239,-0.0008,0.0118,-0.0008,Breed,PembrokeWelshCorgi
PembrokeWelshCorgi:PWCorgi02,-0.024,-0.0007,0.012,-0.0009,Breed,PembrokeWelshCorgi
PeruvianIncaOrchid:PeruHairless01,-0.0219,-0.0007,0.008,-0.0009,Breed,PeruvianIncaOrchid
PetitBasset:PetitBasset,-0.0214,0.0019,0.0112,-0.0023,Breed,PetitBasset
Pomeranian:Pomeranian01,-0.0221,-0.0013,0.0103,-0.0009,Breed,Pomeranian
Poodle:PL116,-0.0224,-0.0013,0.0105,-0.0009,Breed,Poodle
PortugalVillage:VillDog_Portugal01,-0.0219,-0.001,0.0088,-0.0008,Village,PortugalVillage
PortugalVillage:VillDog_Portugal02,-0.022,-0.0009,0.009,-0.0007,Village,PortugalVillage
PortugalVillage:PT49,-0.0232,-0.0009,0.0121,-0.0007,Village,PortugalVillage
PortuguesePodengo:PortuPodengo01,-0.0222,-0.0008,0.0108,-0.0011,Breed,PortuguesePodengo
PortugueseWaterDog:PortuaterDog09,-0.0238,-0.0015,0.0126,-0.0006,Breed,PortugueseWaterDog
PortugueseWaterDog:PortuWaterDog01,-0.0239,-0.0015,0.0125,-0.0006,Breed,PortugueseWaterDog
PortugueseWaterDog:PortuWaterDog02,-0.024,-0.0016,0.0127,-0.0007,Breed,PortugueseWaterDog
PortugueseWaterDog:PortuWaterDog05,-0.024,-0.0015,0.0132,-0.0007,Breed,PortugueseWaterDog
Pug:Pug05,-0.0217,0.0016,0.009,-0.0019,Breed,Pug
Pug:Pug03,-0.0222,-0.0006,0.0088,-0.0008,Breed,Pug
Pug:Pug02,-0.0223,-0.0006,0.0088,-0.0004,Breed,Pug
Pug:Pug04,-0.0224,-0.0002,0.0087,-0.0005,Breed,Pug
QatarVillage:VillDog_Qatar01,-0.0118,-0.0018,-0.0033,-0.0012,Village,QatarVillage
QatarVillage:VillDog_Qatar02,-0.0133,-0.0017,-0.0006,-0.001,Village,QatarVillage
QingchuanDog:QingchuanDog01,0.0067,0.0017,-0.069,-0.0045,Breed,QingchuanDog
RhodesianRidgeback:Ridgeback01,-0.0219,0.001,0.0113,-0.0018,Breed,RhodesianRidgeback
RhodesianRidgeback:Ridgeback02,-0.0226,-0.0011,0.011,-0.0009,Breed,RhodesianRidgeback
RhodesianRidgeback:Ridgeback04,-0.0231,-0.0013,0.012,-0.0009,Breed,RhodesianRidgeback
RhodesianRidgeback:RR098,-0.0232,-0.0013,0.0115,-0.0008,Breed,RhodesianRidgeback
Rottweiler:Rottweiler01,-0.0232,-0.0013,0.0118,-0.0008,Breed,Rottweiler
Rottweiler:Rottweiler04,-0.0236,-0.0016,0.0128,-0.0006,Breed,Rottweiler
Rottweiler:171515_S19,-0.0237,-0.002,0.0142,-0.0006,Breed,Rottweiler
Rottweiler:168979_S18,-0.0239,-0.0018,0.0139,-0.0007,Breed,Rottweiler
SaintBernard:SaintBernard01,-0.0233,-0.0011,0.0115,-0.0009,Breed,SaintBernard
SaintBernard:SaintBernard02,-0.0236,-0.0009,0.0124,-0.001,Breed,SaintBernard
Saluki:Saluki03,-0.0082,-0.0019,-0.0079,-0.0018,Breed,Saluki
Saluki:Saluki02,-0.0083,-0.0023,-0.0077,-0.0015,Breed,Saluki
Saluki:Saluki01,-0.0087,-0.0021,-0.0069,-0.0017,Breed,Saluki
Samoyed:Samoyed02,-0.01,-0.0003,-0.0182,-0.002,Breed,Samoyed
Samoyed:Samoyed01,-0.0116,-0.0009,-0.0146,-0.002,Breed,Samoyed
ScottishDeerhound:ScottishDeer01,-0.0243,-0.001,0.0135,-0.0006,Breed,ScottishDeerhound
ScottishTerrier:ScottishTerrier03,-0.0243,-0.0014,0.0135,-0.0006,Breed,ScottishTerrier
ScottishTerrier:ScottishTerrier02,-0.0244,-0.0013,0.013,-0.0008,Breed,ScottishTerrier
ScottishTerrier:ScottishTerrier04,-0.0244,-0.0012,0.0132,-0.0007,Breed,ScottishTerrier
ScottishTerrier:ScottishTerrier01,-0.0248,-0.001,0.0132,-0.0007,Breed,ScottishTerrier
SharPei:NGSDOG024,0.0085,0.0021,-0.0822,-0.0059,Breed,SharPei
SharPei:NGSDOG025,0.0074,0.0015,-0.0806,-0.0054,Breed,SharPei
ShetlandSheepdog:SS004,-0.0233,-0.0016,0.0129,-0.0008,Breed,ShetlandSheepdog
ShetlandSheepdog:ShetlandSheep01,-0.0236,-0.0013,0.0111,-0.0007,Breed,ShetlandSheepdog
ShetlandSheepdog:ShetlandSheep02,-0.0236,-0.0012,0.0113,-0.0009,Breed,ShetlandSheepdog
ShibaInu:CFA.107839,0.01,0.0019,-0.0934,-0.0066,Breed,ShibaInu
ShibaInu:ShibaInu01,0.0093,0.0048,-0.0948,-0.0066,Breed,ShibaInu
SiberianHusky:SiberianHusky02,0.0049,0.003,-0.0709,-0.0047,Breed,SiberianHusky
SiberianHusky:SY046,0.0045,0.002,-0.0722,-0.0049,Breed,SiberianHusky
SiberianHusky:SiberianHusky04,0.0038,0.0026,-0.0703,-0.0047,Breed,SiberianHusky
SiberianHusky:SiberianHusky01,0.0035,0.0028,-0.0686,-0.0048,Breed,SiberianHusky
Sloughi:Sloughi04,-0.015,-0.002,0.0015,-0.001,Breed,Sloughi
Sloughi:Sloughi03,-0.0166,-0.0022,0.0049,-0.0009,Breed,Sloughi
Sloughi:Sloughi01,-0.0168,-0.0021,0.0053,-0.0008,Breed,Sloughi
SoftCoatedWheatenTerrier:SCWTer03,-0.0247,-0.0011,0.0135,-0.0006,Breed,SoftCoatedWheatenTerrier
SoftCoatedWheatenTerrier:SCWTer04,-0.0247,-0.0011,0.0139,-0.0005,Breed,SoftCoatedWheatenTerrier
SoftCoatedWheatenTerrier:SCWTer02,-0.0248,-0.001,0.0137,-0.0006,Breed,SoftCoatedWheatenTerrier
SoftCoatedWheatenTerrier:SCWTer01,-0.0249,-0.0008,0.0134,-0.0006,Breed,SoftCoatedWheatenTerrier
SpanishGalgo:SpanishGalgo01,-0.0217,-0.0012,0.0081,-0.0009,Breed,SpanishGalgo
SpanishWaterDog:SpanishWaterDog01,-0.0223,-0.001,0.0106,-0.001,Breed,SpanishWaterDog
SpinoneItaliano:CFA.109669,-0.0226,-0.0021,0.012,-0.0007,Breed,SpinoneItaliano
StandardPoodle:StandardPoodle02,-0.0231,-0.0012,0.012,-0.0009,Breed,StandardPoodle
StandardPoodle:StandardPoodle03,-0.0232,-0.0012,0.0122,-0.001,Breed,StandardPoodle
StandardPoodle:StandardPoodle01,-0.0233,-0.001,0.01,-0.0008,Breed,StandardPoodle
StandardPoodle:CFA.107842,-0.024,-0.002,0.0137,-0.0006,Breed,StandardPoodle
StandardSchnauzer:CFA.118002,-0.0227,-0.0019,0.0114,-0.0008,Breed,StandardSchnauzer
StandardSchnauzer:Schnauzer01,-0.0228,-0.0013,0.0102,-0.0007,Breed,StandardSchnauzer
StandardSchnauzer:CFA.107834,-0.023,-0.0022,0.0125,-0.0007,Breed,StandardSchnauzer
StandardSchnauzer:CFA.118001,-0.023,-0.0022,0.012,-0.0007,Breed,StandardSchnauzer
SwedishLapphund:SwedishLapphund01,-0.0179,-0.0011,0.0019,-0.0011,Breed,SwedishLapphund
SwissMountainDog:CFA.107841,-0.0218,-0.0021,0.0126,-0.0008,Breed,SwissMountainDog
SwissMountainDog:SwissMountain01,-0.0226,-0.0012,0.0118,-0.001,Breed,SwissMountainDog
TaiwainVillage:VillDog_Taiwan01,0.0022,0.0013,-0.0609,-0.004,Village,TaiwainVillage
TibetanMastiff:TibetanMastiff08,0.0114,0.0017,-0.0742,-0.0055,Breed,TibetanMastiff
TibetanMastiff:TibetanMastiff02,0.0102,0.0029,-0.0732,-0.0061,Breed,TibetanMastiff
TibetanMastiff:TibetanMastiff11,0.009,0.0022,-0.0684,-0.0056,Breed,TibetanMastiff
TibetanMastiff:TibetanMastiff10,0.0082,0.0021,-0.0671,-0.0055,Breed,TibetanMastiff
TibetanTerrier:TibetanTerrier02,-0.014,-0.0012,-0.0073,-0.0017,Breed,TibetanTerrier
TibetanTerrier:TibetanTerrier01,-0.0159,-0.001,-0.0051,-0.0015,Breed,TibetanTerrier
Tornjak:Tornjak01,-0.021,-0.0006,0.0064,-0.0007,Breed,Tornjak
ToyPoodle:ToyPoodle01,-0.0232,-0.0009,0.0112,-0.001,Breed,ToyPoodle
VietnamVillage:IndDogVietnam02,0.0199,0.0033,-0.1212,-0.0069,VietnamVillage,VietnamVillage
VietnamVillage:IndDogVietnam04,0.0195,0.0028,-0.1172,-0.007,VietnamVillage,VietnamVillage
VietnamVillage:IndDogVietnam05,0.0185,0.0027,-0.1142,-0.0068,VietnamVillage,VietnamVillage
VietnamVillage:IndDogVietnam01,0.0184,0.0032,-0.1178,-0.0069,VietnamVillage,VietnamVillage
Vizsla:Vizsla01,-0.0232,-0.0009,0.0116,-0.001,Breed,Vizsla
WestHighlandWhiteTerrier:WHWTerr06,-0.0243,-0.0011,0.0117,-0.0007,Breed,WestHighlandWhiteTerrier
WestHighlandWhiteTerrier:WHWTerr03,-0.0244,-0.0011,0.0128,-0.0007,Breed,WestHighlandWhiteTerrier
WestHighlandWhiteTerrier:WW558,-0.0244,-0.0016,0.0142,-0.0007,Breed,WestHighlandWhiteTerrier
WestHighlandWhiteTerrier:WHWTerr02,-0.0246,-0.0013,0.0135,-0.0006,Breed,WestHighlandWhiteTerrier
Whippet:Whippet01,-0.0243,-0.0002,0.0135,-0.001,Breed,Whippet
EthiopianWolf:EthiopianWolf_Ethiopia,0.1559,0.1003,-0.0081,0.1259,Wolf,EthiopianWolf
WolfScandinavia:32-D-05-18,0.1513,-0.1211,0.1287,0.0041,Wolf,WolfScandinavia
WolfScandinavia:33-M-05-01,0.151,-0.1229,0.1313,0.0041,Wolf,WolfScandinavia
WolfScandinavia:21-M-02-15,0.1506,-0.1158,0.123,0.0034,Wolf,WolfScandinavia
WolfScandinavia:79-M-09-03,0.1505,-0.1154,0.1232,0.0033,Wolf,WolfScandinavia
WolfScandinavia:82-G23-13,0.1503,-0.1231,0.1359,0.0041,Wolf,WolfScandinavia
WolfScandinavia:83-G31-13,0.1501,-0.1244,0.1354,0.0044,Wolf,WolfScandinavia
WolfScandinavia:42-M-07-02,0.1488,-0.1089,0.1108,0.0039,Wolf,WolfScandinavia
WolfScandinavia:71-G82-10,0.1483,-0.1066,0.1078,0.0033,Wolf,WolfScandinavia
WolfScandinavia:63-M-10-10,0.1478,-0.114,0.1191,0.0039,Wolf,WolfScandinavia
WolfScandinavia:7-D-77-01,0.1476,-0.1024,0.1027,0.003,Wolf,WolfScandinavia
WolfScandinavia:D-85-01,0.1467,-0.104,0.1045,0.0032,Wolf,WolfScandinavia
WolfBanksIsland:GreyWolf_BanksIsland,0.1466,0.3696,0.1068,-0.1141,Wolf,WolfBanksIsland
WolfIberia:Wolf39,0.1464,-0.1059,0.0906,0.0123,Wolf,WolfIberia
WolfDaneborg:GreyWolf_Daneborg,0.146,0.39,0.1186,-0.1389,Wolf,WolfDaneborg
WolfScandinavia:8-D-79-01,0.146,-0.0973,0.0958,0.0026,Wolf,WolfScandinavia
WolfPortugal:Wolf24,0.1433,-0.1042,0.0824,0.0123,Wolf,WolfPortugal
WolfInnerMongolia:Wolf41,0.1429,-0.0087,-0.1261,-0.0065,Wolf,WolfInnerMongolia
WolfTibetan:WolfTibetan06,0.1406,-0.0077,-0.1647,-0.0057,Wolf,WolfTibetan
WolfTibetan:WolfTibetan07,0.1403,-0.0301,-0.0893,-0.0013,Wolf,WolfTibetan
GoldenJackalSyria:GoldenJackal_S,0.1401,0.099,-0.0018,0.1081,Wolf,GoldenJackalSyria
WolfBaffinNorth:GreyWolf_BaffinNorth,0.1398,0.3661,0.1098,-0.1323,Wolf,WolfBaffinNorth
WolfTibetan:WolfTibetan08,0.1398,-0.0321,-0.079,-0.0005,Wolf,WolfTibetan
WolfVicIsland:GreyWolf_VicIsl,0.1394,0.2554,0.0617,-0.0482,Wolf,WolfVicIsland
WolfTibetan:WolfTibetan05,0.1387,-0.0038,-0.1548,-0.0065,Wolf,WolfTibetan
WolfXinjiang:Wolf35,0.1385,-0.0287,-0.0829,-0.0024,Wolf,WolfXinjiang
WolfChina:Wolf05,0.1377,-0.0037,-0.2073,-0.0056,Wolf,WolfChina
WolfLawrenceIsland:GreyWolf_LawIsl,0.1375,0.2268,0.0435,-0.0195,Wolf,WolfLawrenceIsland
WolfXinjiang:Wolf33,0.1353,-0.0262,-0.0814,-0.0002,Wolf,WolfXinjiang
WolfBaffinSouth:GreyWolf_BaffinSouth,0.1325,0.3595,0.1086,-0.1426,Wolf,WolfBaffinSouth
WolfPacificCoast:GreyWolf_PacificCoast,0.1324,0.3036,0.0681,-0.0558,Wolf,WolfPacificCoast
AlaskanWolf:AlaskanWolf,0.1299,0.2051,0.0217,-0.0241,Wolf,AlaskanWolf
WolfXinjiang:Wolf32,0.1295,-0.0258,-0.0691,0.0013,Wolf,WolfXinjiang
WolfLiaoning:Wolf31,0.1285,-0.0006,-0.141,-0.0045,Wolf,WolfLiaoning
WolfBryansk:Wolf03,0.1282,-0.0758,0.0531,0.0052,Wolf,WolfBryansk
WolfShanxi:Wolf34,0.1269,-0.0025,-0.1847,-0.0026,Wolf,WolfShanxi
WolfXinjiang:Wolf36,0.1251,-0.0238,-0.0554,-0.0015,Wolf,WolfXinjiang
WolfAltai:Wolf01,0.1234,-0.0247,-0.0457,0.0002,Wolf,WolfAltai
WolfChukotka:Wolf02,0.1213,0.0135,-0.0519,-0.0063,Wolf,WolfChukotka
WolfSpain:Wolf27,0.1194,-0.0875,0.0709,0.0105,Wolf,WolfSpain
WolfCroatia:Wolf06,0.1184,-0.0575,0.0378,0.0036,Wolf,WolfCroatia
WolfSyria:GreyWolf_Syria,0.1181,-0.0205,0.0112,-0.0021,Wolf,WolfSyria
WolfInnerMongolia:Wolf37,0.1177,-0.0027,-0.1247,-0.0038,Wolf,WolfInnerMongolia
WolfItaly:Wolf21,0.1167,-0.0599,0.0424,0.0055,Wolf,WolfItaly
WolfInnerMongolia:Wolf04,0.1149,-0.004,-0.1089,-0.0032,Wolf,WolfInnerMongolia
WolfSaudiArabia:GreyWolf_SaudiArabia,0.1103,-0.0137,0.0021,-0.0005,Wolf,WolfSaudiArabia
WolfYellowstone:Wolf30,0.107,0.1607,0.0191,-0.0088,Wolf,WolfYellowstone
WolfShanxi:Wolf38,0.1054,-0.0009,-0.1536,-0.0027,Wolf,WolfShanxi
WolfMexico:Wolf23,0.1053,0.1502,0.0053,0.0295,Wolf,WolfMexico
WolfIsrael:Wolf07,0.0912,-0.0278,-0.0021,0.0046,Wolf,WolfIsrael
AlgonquinWolf:AlgonquinWolf13467,0.0687,0.2121,0.0271,0.9601,Wolf,AlgonquinWolf
XiasiDog:XiasiDog01,0.0137,0.0029,-0.097,-0.0058,Breed,XiasiDog
Xoloitzcuintli:Xoloitzcuintli01,-0.0195,-0.0006,0.0022,-0.0012,Breed,Xoloitzcuintli
Xoloitzcuintli:MexicanHairless01,-0.0212,-0.0006,0.0071,-0.0007,Breed,Xoloitzcuintli
YorkshireTerrier:YorkshireTerrier02,-0.0234,-0.0009,0.0101,-0.0009,Breed,YorkshireTerrier
YorkshireTerrier:BAN00032,-0.0235,-0.0005,0.0119,-0.001,Breed,YorkshireTerrier
YorkshireTerrier:PER00075,-0.0236,-0.0001,0.0114,-0.0007,Breed,YorkshireTerrier
YorkshireTerrier:PER00204,-0.0237,-0.0004,0.0122,-0.001,Breed,YorkshireTerrier
