Individual,PC1,PC2,PC3,PC4,Population,Population2
BorderTerrier:BorderTerrier02,-0.0246,-0.0002,0.0126,-0.0008,Breed,BorderTerrier
BorderTerrier:BorderTerrier03,-0.0246,0.0001,0.0129,-0.0007,Breed,BorderTerrier
BorderTerrier:CFA.107838,-0.0246,-0.002,0.0151,-0.0006,Breed,BorderTerrier
BorneoVillage:VillDog_Borneo02,0.0142,0.0024,-0.0988,-0.0058,BorneoVillage,BorneoVillage
BorneoVillage:VillDog_Borneo03,0.0134,0.0026,-0.0958,-0.0057,BorneoVillage,BorneoVillage
BorneoVillage:VillDog_Borneo01,0.0128,0.0028,-0.0953,-0.0057,BorneoVillage,BorneoVillage
Borzoi:Borzoi01,-0.0194,-0.0014,0.0067,-0.001,Breed,Borzoi
BostonTerrier:BostonTerrier01,-0.0254,-0.0009,0.014,-0.0006,Breed,BostonTerrier
BouvierDesFlandres:CFA.107836,-0.0241,-0.0022,0.0147,-0.0007,Breed,BouvierDesFlandres
BouvierDesFlandres:BouvDesFlan01,-0.0246,-0.0014,0.0137,-0.0007,Breed,BouvierDesFlandres
BouvierDesFlandres:BouvDesFlan02,-0.0246,-0.0013,0.0131,-0.0007,Breed,BouvierDesFlandres
Boxer:Boxer01,-0.0246,0.0002,0.0123,-0.0005,Breed,Boxer
Brittany:BrittanySpaniel01,-0.0232,-0.0012,0.011,-0.0006,Breed,Brittany
Bulldog:Bulldog01,-0.026,-0.0007,0.0141,-0.0007,Breed,Bulldog
Bullmastiff:BU002,-0.0247,-0.001,0.0139,-0.0007,Breed,Bullmastiff
BullTerrier:BullTerrier03,-0.0271,-0.0009,0.0173,-0.0004,Breed,BullTerrier
BullTerrier:BullTerrier04,-0.0272,-0.0011,0.0177,-0.0003,Breed,BullTerrier
BullTerrier:BullTerrier06,-0.0273,-0.0011,0.018,-0.0003,Breed,BullTerrier
BullTerrier:BullTerrier05,-0.0274,-0.001,0.0173,-0.0004,Breed,BullTerrier
CairnTerrier:CE073,-0.024,-0.0013,0.0126,-0.0007,Breed,CairnTerrier
CaneCorso:CaneCorso01,-0.0234,0.0011,0.013,-0.0011,Breed,CaneCorso
CaucasianOvcharka:Ovcharka01,-0.0144,-0.001,0.0003,-0.0011,Breed,CaucasianOvcharka
CavalierKingCharlesSpaniel:CK023,-0.0245,-0.0016,0.0147,-0.0007,Breed,CavalierKingCharlesSpaniel
CavalierKingCharlesSpaniel:CK006,-0.0247,-0.0014,0.0143,-0.0007,Breed,CavalierKingCharlesSpaniel
ChesapeakeBayRetriever:CFA.109671,-0.0236,-0.0021,0.0134,-0.0006,Breed,ChesapeakeBayRetriever
Chihuahua:Chihuahua03,-0.0206,-0.0006,0.0054,-0.0008,Breed,Chihuahua
Chihuahua:Chihuahua05,-0.0206,-0.001,0.0081,-0.0004,Breed,Chihuahua
Chihuahua:Chihuahua01,-0.0209,-0.0001,0.0068,-0.0007,Breed,Chihuahua
