Individual,PC1,PC2,PC3,PC4,Population,Population2
BorderTerrier:CFA.107838,-0.0204,0.0229,0.0021,-0.0018,Breed,BorderTerrier
BorneoVillage:VillDog_Borneo01,0.1071,-0.0334,0.0272,0.0682,BorneoVillage,BorneoVillage
BorneoVillage:VillDog_Borneo02,0.1111,-0.0352,0.0259,0.0701,BorneoVillage,BorneoVillage
BorneoVillage:VillDog_Borneo03,0.1085,-0.0319,0.0279,0.0669,BorneoVillage,BorneoVillage
Borzoi:Borzoi01,-0.013,0.0022,-0.0004,0,Breed,Borzoi
BostonTerrier:BostonTerrier01,-0.0213,0.0221,0.0023,-0.0009,Breed,BostonTerrier
BouvierDesFlandres:BouvDesFlan01,-0.0202,0.0202,0.0023,0.0004,Breed,BouvierDesFlandres
BouvierDesFlandres:BouvDesFlan02,-0.02,0.0195,0.0024,0.0005,Breed,BouvierDesFlandres
BouvierDesFlandres:CFA.107836,-0.0201,0.0199,0.0005,-0.0005,Breed,BouvierDesFlandres
Boxer:Boxer01,-0.0206,0.02,0.003,0.0027,Breed,Boxer
Brittany:BrittanySpaniel01,-0.0183,0.015,0,0.0007,Breed,Brittany
Bulldog:Bulldog01,-0.0217,0.0242,0.0049,-0.0018,Breed,Bulldog
Bullmastiff:BU002,-0.0202,0.0219,0.0032,-0.001,Breed,Bullmastiff
BullTerrier:BullTerrier03,-0.0237,0.0322,0.0035,-0.0032,Breed,BullTerrier
BullTerrier:BullTerrier04,-0.0241,0.0326,0.0032,-0.0031,Breed,BullTerrier
BullTerrier:BullTerrier05,-0.0237,0.0329,0.004,-0.0032,Breed,BullTerrier
BullTerrier:BullTerrier06,-0.0242,0.0325,0.0028,-0.0026,Breed,BullTerrier
CairnTerrier:CE073,-0.0189,0.0196,0.0024,-0.0009,Breed,CairnTerrier
CaneCorso:CaneCorso01,-0.0188,0.0194,0.0012,0.0022,Breed,CaneCorso
CaucasianOvcharka:Ovcharka01,-0.0066,-0.0156,-0.0088,0.0051,Breed,CaucasianOvcharka
CavalierKingCharlesSpaniel:CK006,-0.0203,0.0197,0.0003,-0.0021,Breed,CavalierKingCharlesSpaniel
CavalierKingCharlesSpaniel:CK023,-0.0203,0.0197,-0.0022,-0.0004,Breed,CavalierKingCharlesSpaniel
ChesapeakeBayRetriever:CFA.109671,-0.0188,0.0173,0.0012,-0.002,Breed,ChesapeakeBayRetriever
Chihuahua:Chihuahua01,-0.0135,0.0074,0.0036,-0.001,Breed,Chihuahua
Chihuahua:Chihuahua03,-0.0137,0.0053,0.002,-0.0007,Breed,Chihuahua
Chihuahua:Chihuahua05,-0.0139,0.0072,0.0014,-0.0017,Breed,Chihuahua
ChinaVil:VillDog_China01,0.0417,-0.0497,0.0197,0.0355,ChinaVillage,ChinaVil
ChinaVil:VillDog_China02,0.1025,-0.0663,0.0428,0.074,ChinaVillage,ChinaVil
ChinaVil:VillDog_China03,0.0821,-0.066,0.038,0.0628,ChinaVillage,ChinaVil
ChinaVil:VillDog_China52,0.0066,-0.0212,0.0049,0.0107,ChinaVillage,ChinaVil
ChinaVilAnhui:ChinaIndDog14,0.0987,-0.0562,0.0408,0.0765,ChinaVillage,ChinaVilAnhui
ChinaVilDiqing:VillDog_China40,0.063,-0.0784,0.0318,0.0627,ChinaVillage,ChinaVilDiqing
ChinaVilDiqing:VillDog_China41,0.0611,-0.0778,0.0288,0.0635,ChinaVillage,ChinaVilDiqing
ChinaVilDiqing:VillDog_China44,0.0634,-0.0768,0.031,0.0651,ChinaVillage,ChinaVilDiqing
ChinaVilDiqing:VillDog_China46,0.0606,-0.0772,0.0299,0.0626,ChinaVillage,ChinaVilDiqing
ChinaVilGansu:ChinaIndDog02,0.0494,-0.0663,0.0238,0.046,ChinaVillage,ChinaVilGansu
ChinaVilGansu:ChinaIndDog03,0.0489,-0.0674,0.025,0.0431,ChinaVillage,ChinaVilGansu
ChinaVilGansu:ChinaIndDog04,0.0494,-0.0683,0.0248,0.045,ChinaVillage,ChinaVilGansu
ChinaVilGuangdong:ChinaIndDog05,0.105,-0.0747,0.0497,0.0881,ChinaVillage,ChinaVilGuangdong
ChinaVilGuizhou:ChinaIndDog06,0.1,-0.0736,0.0469,0.0822,ChinaVillage,ChinaVilGuizhou
ChinaVilHebei:ChinaIndDog07,0.0486,-0.0575,0.0253,0.0366,ChinaVillage,ChinaVilHebei
ChinaVilLiaoning:ChinaIndDog01,0.0418,-0.044,0.0209,0.0364,ChinaVillage,ChinaVilLiaoning
ChinaVilLijiang:VillDog_China30,0.0772,-0.0728,0.0357,0.0665,ChinaVillage,ChinaVilLijiang
ChinaVilLijiang:VillDog_China31,0.0767,-0.0726,0.0346,0.0662,ChinaVillage,ChinaVilLijiang
ChinaVilLijiang:VillDog_China32,0.0607,-0.0616,0.0303,0.0535,ChinaVillage,ChinaVilLijiang
ChinaVilLijiang:VillDog_China38,0.071,-0.0671,0.0352,0.0663,ChinaVillage,ChinaVilLijiang
ChinaVilShanxi:ChinaIndDog08,0.0454,-0.0383,0.0189,0.031,ChinaVillage,ChinaVilShanxi
ChinaVilShanxi:ChinaIndDog09,0.0272,-0.0302,0.0178,0.0291,ChinaVillage,ChinaVilShanxi
ChinaVilShanxi:ChinaIndDog10,0.0277,-0.0262,0.0159,0.0266,ChinaVillage,ChinaVilShanxi
ChinaVilShanxi:ChinaIndDog15,0.0439,-0.0461,0.0218,0.0379,ChinaVillage,ChinaVilShanxi
ChinaVilXinjiang:ChinaIndDog11,0.0293,-0.0519,0.0113,0.0242,ChinaVillage,ChinaVilXinjiang
ChinaVilYingjiang:VillDog_China20,0.0953,-0.0629,0.0339,0.0699,ChinaVillage,ChinaVilYingjiang
ChinaVilYingjiang:VillDog_China27,0.0851,-0.0587,0.0341,0.0651,ChinaVillage,ChinaVilYingjiang
ChinaVilYingjiang:VillDog_China28,0.0781,-0.0537,0.0293,0.059,ChinaVillage,ChinaVilYingjiang
ChinaVilYingjiang:VillDog_China29,0.0947,-0.0661,0.0385,0.0727,ChinaVillage,ChinaVilYingjiang
ChinaVilYunnan:ChinaIndDog12,0.1051,-0.0744,0.048,0.0838,ChinaVillage,ChinaVilYunnan
ChinaVilYunnan:ChinaIndDog13,0.1021,-0.0674,0.0413,0.0741,ChinaVillage,ChinaVilYunnan
ChineseCrested:ChineseCrested01,-0.0154,0.0101,0.0007,0.0009,ChinaVillage,ChineseCrested
ChineseCrested:ChineseCrested05,-0.0138,0.0087,0.0028,0.0021,ChinaVillage,ChineseCrested
Chinook:Chinook01,-0.0085,-0.0051,0.0193,-0.0262,Breed,Chinook
ChongqingDog:ChongqingDog01,0.09,-0.074,0.0502,0.0996,Breed,ChongqingDog
ChowChow:ChowChow01,0.0969,-0.0804,0.0607,0.1418,Breed,ChowChow
ChowChow:ChowChow02,0.1256,-0.125,0.1003,0.2578,Breed,ChowChow
ChowChow:ChowChow03,0.0926,-0.08,0.0633,0.1481,Breed,ChowChow
ChowChow:CW011,0.119,-0.1164,0.0917,0.2308,Breed,ChowChow
ClumberSpaniel:ClumberSpaniel01,-0.0198,0.0185,-0.0002,0.0006,Breed,ClumberSpaniel
CockerSpanielAmerican:ACockerSpaniel01,-0.0203,0.0206,0.0005,-0.0005,Breed,CockerSpanielAmerican
CockerSpanielAmerican:ACockerSpaniel03,-0.0209,0.0209,-0.0005,0.0006,Breed,CockerSpanielAmerican
CockerSpanielAmerican:ACockerSpaniel04,-0.0212,0.0203,-0.0009,-0.0007,Breed,CockerSpanielAmerican
CockerSpanielAmerican:ACockerSpaniel06,-0.0211,0.0214,0.0007,-0.0003,Breed,CockerSpanielAmerican
