Individual,PC1,PC2,PC3,PC4,Population,Population2
NGSingingDog:NGSD1,0.2414,0.0811,-0.0226,0.052,NGSingingDog,NGSingingDog
NGSingingDog:NGSD2,0.2374,0.0819,-0.0219,0.0559,NGSingingDog,NGSingingDog
NGSingingDog:NGSD3,0.2392,0.0826,-0.0227,0.0524,NGSingingDog,NGSingingDog
NGSingingDog:NGSingingDog01,0.2662,0.085,-0.0236,0.0605,NGSingingDog,NGSingingDog
NigeriaVillage:IndigenousDogNigeria01,0.0024,-0.104,-0.1492,-0.0146,Village,NigeriaVillage
NigeriaVillage:IndigenousDogNigeria02,0.0062,-0.1339,-0.1891,-0.019,Village,NigeriaVillage
NigeriaVillage:IndigenousDogNigeria03,0.0077,-0.1372,-0.1911,-0.0179,Village,NigeriaVillage
NigeriaVillage:IndigenousDogNigeria04,0.0014,-0.0902,-0.1239,-0.0103,Village,NigeriaVillage
NorwegianElkhound:NorwegianElkhound01,-0.0115,0.0017,0.0072,-0.001,Breed,NorwegianElkhound
NorwegianElkhound:NorwegianElkhound02,-0.0112,-0.0005,0.0057,-0.0029,Breed,NorwegianElkhound
NorwegianLundehund:NorwegianLundehund01,-0.0147,0.0111,0.0052,-0.0012,Breed,NorwegianLundehund
NorwegianLundehund:NorwegianLundehund02,-0.0149,0.0113,0.0053,-0.0009,Breed,NorwegianLundehund
NorwegianLundehund:NorwegianLundehund03,-0.0147,0.011,0.0054,-0.0009,Breed,NorwegianLundehund
NorwichTerrier:NW062,-0.02,0.0218,0.0013,0.0006,Breed,NorwichTerrier
NorwichTerrier:NW152,-0.0204,0.0229,0.0017,0.0017,Breed,NorwichTerrier
NorwichTerrier:NW206,-0.02,0.022,0.0013,-0.0002,Breed,NorwichTerrier
NorwichTerrier:NW255,-0.0198,0.0219,0.0004,-0.0002,Breed,NorwichTerrier
PapuaNGVillage:VillDog_PapuaNG01,0.0424,0.0082,0.0071,0.022,Village,PapuaNGVillage
PapuaNGVillage:VillDog_PapuaNG02,0.0344,0.0076,0.0083,0.0208,Village,PapuaNGVillage
PapuaNGVillage:VillDog_PapuaNG03,0.0428,0.0045,0.0086,0.0243,Village,PapuaNGVillage
PembrokeWelshCorgi:PWCorgi01,-0.0186,0.0167,0.0022,-0.0002,Breed,PembrokeWelshCorgi
PembrokeWelshCorgi:PWCorgi02,-0.0196,0.0173,0.0024,-0.0003,Breed,PembrokeWelshCorgi
PembrokeWelshCorgi:PWCorgi03,-0.019,0.0185,0.0027,-0.0011,Breed,PembrokeWelshCorgi
PeruvianIncaOrchid:PeruHairless01,-0.0158,0.0103,0.0024,-0.0003,Breed,PeruvianIncaOrchid
PetitBasset:PetitBasset,-0.0166,0.0108,0.0012,0.0027,Breed,PetitBasset
Pomeranian:Pomeranian01,-0.0164,0.0116,0.0025,-0.0014,Breed,Pomeranian
Poodle:PL116,-0.0177,0.0131,0.0008,0.0014,Breed,Poodle
PortugalVillage:PT49,-0.0191,0.0157,-0.0019,0.0021,Village,PortugalVillage
PortugalVillage:VillDog_Portugal01,-0.0161,0.01,-0.0017,0.0016,Village,PortugalVillage
PortugalVillage:VillDog_Portugal02,-0.0164,0.0101,-0.0029,0.0032,Village,PortugalVillage
PortuguesePodengo:PortuPodengo01,-0.0174,0.0117,-0.0016,0.0006,Breed,PortuguesePodengo
PortugueseWaterDog:PortuaterDog09,-0.0193,0.0167,0.0002,0.0003,Breed,PortugueseWaterDog
PortugueseWaterDog:PortuWaterDog01,-0.0191,0.0166,-0.0012,0,Breed,PortugueseWaterDog
PortugueseWaterDog:PortuWaterDog02,-0.019,0.0167,-0.0009,0.0002,Breed,PortugueseWaterDog
PortugueseWaterDog:PortuWaterDog05,-0.0196,0.0178,0,-0.0005,Breed,PortugueseWaterDog
Pug:Pug02,-0.0163,0.0118,0.0008,0.002,Breed,Pug
Pug:Pug03,-0.0162,0.0121,0.0021,0.0029,Breed,Pug
Pug:Pug04,-0.0162,0.012,0.0008,0.003,Breed,Pug
Pug:Pug05,-0.0156,0.0106,0.002,0.0064,Breed,Pug
QatarVillage:VillDog_Qatar01,-0.0029,-0.0274,-0.0172,0.0067,Village,QatarVillage
QatarVillage:VillDog_Qatar02,-0.0046,-0.0202,-0.0155,0.0058,Village,QatarVillage
QingchuanDog:QingchuanDog01,0.0647,-0.065,0.0363,0.0698,Breed,QingchuanDog
RhodesianRidgeback:Ridgeback01,-0.0171,0.007,-0.0119,0.0036,Breed,RhodesianRidgeback
RhodesianRidgeback:Ridgeback02,-0.0176,0.0084,-0.0123,-0.0003,Breed,RhodesianRidgeback
RhodesianRidgeback:Ridgeback04,-0.018,0.0117,-0.0087,-0.0005,Breed,RhodesianRidgeback
RhodesianRidgeback:RR098,-0.0176,0.0107,-0.0102,-0.0004,Breed,RhodesianRidgeback
Rottweiler:168979_S18,-0.0195,0.0185,0,-0.0001,Breed,Rottweiler
Rottweiler:171515_S19,-0.0195,0.0197,-0.001,0.0003,Breed,Rottweiler
Rottweiler:Rottweiler01,-0.0187,0.0189,0.0014,0.0007,Breed,Rottweiler
Rottweiler:Rottweiler04,-0.0189,0.0188,0.0007,0.0008,Breed,Rottweiler
SaintBernard:SaintBernard01,-0.0189,0.0166,0.0025,0.0001,Breed,SaintBernard
SaintBernard:SaintBernard02,-0.0193,0.0162,0.0014,0.0001,Breed,SaintBernard
Saluki:Saluki01,0.0011,-0.0489,-0.0241,0.0162,Breed,Saluki
Saluki:Saluki02,0.0019,-0.0475,-0.0237,0.0149,Breed,Saluki
Saluki:Saluki03,0.0023,-0.0493,-0.0227,0.0173,Breed,Saluki
Samoyed:Samoyed01,0.0068,-0.0334,0.0246,-0.0218,Breed,Samoyed
Samoyed:Samoyed02,0.0099,-0.0377,0.0273,-0.0205,Breed,Samoyed
ScottishDeerhound:ScottishDeer01,-0.0203,0.0207,0.0031,-0.0018,Breed,ScottishDeerhound
ScottishTerrier:ScottishTerrier01,-0.0204,0.0219,0.0038,-0.0007,Breed,ScottishTerrier
ScottishTerrier:ScottishTerrier02,-0.0195,0.0216,0.0038,0.0002,Breed,ScottishTerrier
ScottishTerrier:ScottishTerrier03,-0.0205,0.0216,0.0034,-0.0008,Breed,ScottishTerrier
ScottishTerrier:ScottishTerrier04,-0.0202,0.0219,0.0028,-0.0008,Breed,ScottishTerrier
SharPei:NGSDOG024,0.0793,-0.0678,0.0535,0.1103,Breed,SharPei
SharPei:NGSDOG025,0.0777,-0.0619,0.0494,0.0992,Breed,SharPei
ShetlandSheepdog:ShetlandSheep01,-0.0186,0.0178,0.0039,-0.0024,Breed,ShetlandSheepdog
ShetlandSheepdog:ShetlandSheep02,-0.0186,0.0176,0.0042,-0.0025,Breed,ShetlandSheepdog
ShetlandSheepdog:SS004,-0.0184,0.0171,0.0023,-0.003,Breed,ShetlandSheepdog
ShibaInu:CFA.107839,0.0891,-0.0821,0.0733,0.1342,Breed,ShibaInu
ShibaInu:ShibaInu01,0.086,-0.0809,0.0736,0.1368,Breed,ShibaInu
SiberianHusky:SiberianHusky01,0.0508,-0.1459,0.1386,-0.2226,Breed,SiberianHusky
SiberianHusky:SiberianHusky02,0.0539,-0.1484,0.1361,-0.2138,Breed,SiberianHusky
SiberianHusky:SiberianHusky04,0.0518,-0.1439,0.1356,-0.2126,Breed,SiberianHusky
SiberianHusky:SY046,0.0547,-0.1578,0.1508,-0.2524,Breed,SiberianHusky
Sloughi:Sloughi01,-0.0111,-0.0124,-0.021,0.0023,Breed,Sloughi
Sloughi:Sloughi03,-0.0112,-0.0147,-0.0198,0.0038,Breed,Sloughi
Sloughi:Sloughi04,-0.0084,-0.0189,-0.021,0.0049,Breed,Sloughi
SoftCoatedWheatenTerrier:SCWTer01,-0.021,0.0219,0.0011,0.0022,Breed,SoftCoatedWheatenTerrier
SoftCoatedWheatenTerrier:SCWTer02,-0.0208,0.022,0.0014,0.0003,Breed,SoftCoatedWheatenTerrier
SoftCoatedWheatenTerrier:SCWTer03,-0.021,0.0226,0.0029,0.0008,Breed,SoftCoatedWheatenTerrier
SoftCoatedWheatenTerrier:SCWTer04,-0.0212,0.022,0.0019,-0.0002,Breed,SoftCoatedWheatenTerrier
SpanishGalgo:SpanishGalgo01,-0.0151,0.0124,-0.0014,0.0002,Breed,SpanishGalgo
SpanishWaterDog:SpanishWaterDog01,-0.0172,0.0119,-0.0007,0.0007,Breed,SpanishWaterDog
SpinoneItaliano:CFA.109669,-0.0175,0.0131,-0.0025,0.0003,Breed,SpinoneItaliano
StandardPoodle:CFA.107842,-0.0196,0.0174,0.0003,-0.0015,Breed,StandardPoodle
StandardPoodle:StandardPoodle01,-0.0176,0.0155,0.0018,-0.0004,Breed,StandardPoodle
StandardPoodle:StandardPoodle02,-0.0184,0.0159,0.0016,-0.0006,Breed,StandardPoodle
StandardPoodle:StandardPoodle03,-0.0187,0.0159,0,0.0002,Breed,StandardPoodle
StandardSchnauzer:CFA.107834,-0.0179,0.0154,0.0027,-0.0029,Breed,StandardSchnauzer
StandardSchnauzer:CFA.118001,-0.0179,0.0155,0.0028,-0.0021,Breed,StandardSchnauzer
StandardSchnauzer:CFA.118002,-0.0171,0.0142,0.0012,-0.003,Breed,StandardSchnauzer
StandardSchnauzer:Schnauzer01,-0.0177,0.0139,0.0027,-0.0013,Breed,StandardSchnauzer
SwedishLapphund:SwedishLapphund01,-0.0093,-0.0001,0.0069,-0.0027,Breed,SwedishLapphund
SwissMountainDog:CFA.107841,-0.0174,0.014,0.0014,-0.0008,Breed,SwissMountainDog
SwissMountainDog:SwissMountain01,-0.0178,0.0147,0.0018,-0.0012,Breed,SwissMountainDog
TaiwainVillage:VillDog_Taiwan01,0.0585,-0.0454,0.0327,0.0672,Village,TaiwainVillage
TibetanMastiff:TibetanMastiff02,0.0667,-0.1108,0.0445,0.1196,Breed,TibetanMastiff
TibetanMastiff:TibetanMastiff08,0.0692,-0.1069,0.0445,0.1127,Breed,TibetanMastiff
TibetanMastiff:TibetanMastiff10,0.0596,-0.1068,0.0411,0.1042,Breed,TibetanMastiff
TibetanMastiff:TibetanMastiff11,0.0606,-0.1097,0.0418,0.1087,Breed,TibetanMastiff
TibetanTerrier:TibetanTerrier01,-0.0008,-0.0062,0.0045,0.0132,Breed,TibetanTerrier
TibetanTerrier:TibetanTerrier02,0.0023,-0.0103,0.0045,0.0175,Breed,TibetanTerrier
Tornjak:Tornjak01,-0.0141,0.0048,-0.0025,0.0028,Breed,Tornjak
ToyPoodle:ToyPoodle01,-0.018,0.0147,0.001,0,Breed,ToyPoodle
VietnamVillage:IndDogVietnam01,0.1144,-0.0969,0.0675,0.1376,VietnamVillage,VietnamVillage
VietnamVillage:IndDogVietnam02,0.1181,-0.0999,0.07,0.1428,VietnamVillage,VietnamVillage
VietnamVillage:IndDogVietnam04,0.115,-0.0963,0.0694,0.1432,VietnamVillage,VietnamVillage
VietnamVillage:IndDogVietnam05,0.1126,-0.095,0.0641,0.1283,VietnamVillage,VietnamVillage
Vizsla:Vizsla01,-0.0185,0.0141,-0.0011,-0.0005,Breed,Vizsla
WestHighlandWhiteTerrier:WHWTerr02,-0.02,0.0216,0.0045,-0.0017,Breed,WestHighlandWhiteTerrier
WestHighlandWhiteTerrier:WHWTerr03,-0.02,0.0201,0.0037,-0.0012,Breed,WestHighlandWhiteTerrier
WestHighlandWhiteTerrier:WHWTerr06,-0.0186,0.0187,0.0035,-0.0019,Breed,WestHighlandWhiteTerrier
WestHighlandWhiteTerrier:WW558,-0.0195,0.0211,0.0027,-0.003,Breed,WestHighlandWhiteTerrier
Whippet:Whippet01,-0.0199,0.0208,0.0023,-0.0005,Breed,Whippet
XiasiDog:XiasiDog01,0.0958,-0.0731,0.053,0.1002,Breed,XiasiDog
Xoloitzcuintli:MexicanHairless01,-0.0144,0.0083,0.0033,-0.0012,Breed,Xoloitzcuintli
Xoloitzcuintli:Xoloitzcuintli01,-0.0096,0.0034,0.0065,0.0006,Breed,Xoloitzcuintli
YorkshireTerrier:BAN00032,-0.0187,0.0174,0.0023,0.0023,Breed,YorkshireTerrier
YorkshireTerrier:PER00075,-0.0183,0.0176,0.0021,0.001,Breed,YorkshireTerrier
YorkshireTerrier:PER00204,-0.0191,0.0179,0.0014,0.0016,Breed,YorkshireTerrier
YorkshireTerrier:YorkshireTerrier02,-0.0184,0.0176,0.0036,0.0009,Breed,YorkshireTerrier
