Individual,PC1,PC2,PC3,PC4,Population
Whenua_Hou_post:MS11669,-0.0049,-0.0065,-0.0036,0.0018,Whenua_Hou_post
Whenua_Hou_post:MS11670,-0.0083,-0.0116,-0.0066,0.0032,Whenua_Hou_post
Whenua_Hou_post:MS11673,-0.0059,-0.0072,-0.0043,0.0022,Whenua_Hou_post
Whenua_Hou_pre:MS11674,-0.0436,-0.0471,-0.0444,0.0203,Whenua_Hou_pre
Whenua_Hou_pre:MS11675,-0.0299,-0.0376,-0.0280,0.0137,Whenua_Hou_pre
Whenua_Hou_pre:MS11676,-0.3985,0.8318,0.1184,-0.0436,Whenua_Hou_pre
Whenua_Hou_pre:MS11677,-0.0624,-0.1077,-0.1036,0.0687,Whenua_Hou_pre
Whenua_Hou_pre:MS11678,-0.0363,-0.0578,-0.0391,0.0230,Whenua_Hou_pre
Long_Bay:MS11679,-0.0746,-0.1935,-0.2539,0.7301,Long_Bay
Long_Bay:MS11683,-0.1043,-0.3548,0.8177,-0.1430,Long_Bay
Long_Bay:MS11684,-0.0871,-0.2211,-0.4825,-0.6615,Long_Bay
Long_Bay:MS11686,0.8992,0.2756,0.0670,-0.0320,Long_Bay
Kahukura:MS11770,-0.0090,-0.0136,-0.0072,0.0037,Kahukura
Kahukura:MS11771,-0.0166,-0.0272,-0.0158,0.0074,Kahukura
Kahukura:MS11774,-0.0100,-0.0121,-0.0079,0.0031,Kahukura
Kahukura:MS11775,-0.0080,-0.0094,-0.0063,0.0029,Kahukura
